Mono path[0] = 'C:/SelfProjects/GearProject/Builds/Build_02/My project_Data/Managed'
Mono config path = 'C:/SelfProjects/GearProject/Builds/Build_02/MonoBleedingEdge/etc'
[PhysX] Initialized MultithreadedTaskDispatcher with 16 workers.
Initialize engine version: 2022.3.49f1 (4dae1bb8668d)
[Subsystems] Discovering subsystems at path C:/SelfProjects/GearProject/Builds/Build_02/My project_Data/UnitySubsystems
GfxDevice: creating device client; threaded=1; jobified=1
Direct3D:
    Version:  Direct3D 11.0 [level 11.1]
    Renderer: NVIDIA GeForce RTX 3070 (ID=0x2484)
    Vendor:   NVIDIA
    VRAM:     8018 MB
    Driver:   32.0.15.6109
Begin MonoManager ReloadAssembly
- Loaded All Assemblies, in  0.630 seconds
- Finished resetting the current domain, in  0.001 seconds
<RI> Initializing input.
<RI> Input initialized.
<RI> Initialized touch support.
[PhysX] Initialized MultithreadedTaskDispatcher with 16 workers.
UnloadTime: 0.641000 ms
-0.001    0
-0.011    0
-0.011    0
-0.011    0
-0.011    0
-0.011    0
-0.011    0
-0.011    0
-0.011    0
-0.001    0
-0.011    0
-0.001    0
-0.011    0
-0.011    0
-0.011    0
-0.011    0
-0.011    0
-0.011    0
-0.011    0
-0.011    0
-0.001    0
-0.011    0
-0.001    0
-0.011    0
-0.011    0
-0.011    0
-0.011    0
-0.011    0
-0.011    0
-0.011    0
-0.001    0
-0.011    0
-0.011    0
-0.011    0
-0.011    0
-0.011    0
-0.011    0
-0.001    0
-0.011    0
-0.001    0
-0.011    0
-0.011    0
-0.011    0
-0.011    0
-0.001    0
-0.011    0
-0.011    0
-0.011    0
-0.011    0
-0.011    0
-0.001    0
-0.001    0
-0.001    0
-0.001    0
-0.001    0
-0.001    0
-0.001    0
-0.001    0
-0.001    0
-0.001    0
-0.001    0
-0.001    0
-0.001    0
-0.001    0
-0.001    0
-0.001    0
-0.001    0
-0.001    0
-0.001    0
-0.001    0
-0.001    0
-0.001    0
-0.001    0
-0.001    0
-0.001    0
-0.001    0
-0.001    0
-0.001    0
-0.001    0
-0.001    0
-0.001    0
-0.001    0
-0.001    0
-0.001    0
-0.001    0
-0.001    0
-0.001    0
-0.001    0
-0.001    0
-0.001    0
-0.001    0
-0.001    0
-0.001    0
-0.001    0
-0.001    0
-0.001    0
-0.001    0
-0.001    0
-0.001    0
-0.001    0
0.001362255    0.002362255
0.001362255    0.002362255
0.001264067    0.002264067
0.001362255    0.002362255
0.001362255    0.002362255
0.001362255    0.002362255
0.001362255    0.002362255
0.001362255    0.002362255
0.001315801    0.002315801
0.001362255    0.002362255
0.001257049    0.002257049
0.001362255    0.002362255
0.001362255    0.002362255
0.001210924    0.002210924
0.001362255    0.002362255
0.001362255    0.002362255
0.001362255    0.002362255
0.001362255    0.002362255
0.001362255    0.002362255
0.001362255    0.002362255
0.001362255    0.002362255
0.001362255    0.002362255
0.001362255    0.002362255
0.001362255    0.002362255
0.001242099    0.002242099
0.001362255    0.002362255
0.001362255    0.002362255
0.001362255    0.002362255
0.001362255    0.002362255
0.001362255    0.002362255
0.001362255    0.002362255
0.001362255    0.002362255
0.001362255    0.002362255
0.001167093    0.002167093
0.001362255    0.002362255
0.001362255    0.002362255
0.001362255    0.002362255
0.001180033    0.002180033
0.001362255    0.002362255
0.001181027    0.002181027
0.001362255    0.002362255
0.001362255    0.002362255
0.001362255    0.002362255
0.001362255    0.002362255
0.001362255    0.002362255
0.001362255    0.002362255
0.00132174    0.00232174
0.001362255    0.002362255
0.001362255    0.002362255
0.001362255    0.002362255
-0.006342159    0.004657841
0.003657841    0.004657841
0.003461465    0.004461465
0.003657841    0.004657841
0.003657841    0.004657841
0.003657841    0.004657841
0.003657841    0.004657841
0.003657841    0.004657841
0.003564934    0.004564934
-0.006342159    0.004657841
0.00344743    0.00444743
0.003657841    0.004657841
0.003657841    0.004657841
0.00335518    0.00435518
0.003657841    0.004657841
0.003657841    0.004657841
0.003657841    0.004657841
0.003657841    0.004657841
0.003657841    0.004657841
0.003657841    0.004657841
-0.006342159    0.004657841
0.003657841    0.004657841
0.003657841    0.004657841
0.003657841    0.004657841
0.003417529    0.004417529
0.003657841    0.004657841
0.003657841    0.004657841
0.003657841    0.004657841
0.003657841    0.004657841
0.003657841    0.004657841
-0.006342159    0.004657841
0.003657841    0.004657841
0.003657841    0.004657841
0.003267517    0.004267517
0.003657841    0.004657841
0.003657841    0.004657841
0.003657841    0.004657841
-0.006706601    0.004293399
0.003657841    0.004657841
-0.006704614    0.004295386
0.003657841    0.004657841
0.003657841    0.004657841
0.003657841    0.004657841
0.003657841    0.004657841
-0.006342159    0.004657841
0.003657841    0.004657841
0.003576812    0.004576812
0.003657841    0.004657841
0.003657841    0.004657841
0.003657841    0.004657841
0.005953408    0.006953408
0.005953408    0.006953408
0.005658849    0.006658849
0.005953408    0.006953408
0.005953408    0.006953408
0.005953408    0.006953408
0.005953408    0.006953408
0.005953408    0.006953408
0.005814051    0.006814051
0.005953408    0.006953408
0.005637798    0.006637798
0.005953408    0.006953408
0.005953408    0.006953408
0.005499424    0.006499424
0.005953408    0.006953408
0.005953408    0.006953408
0.005953408    0.006953408
0.005953408    0.006953408
0.005953408    0.006953408
0.005953408    0.006953408
0.005953408    0.006953408
0.005953408    0.006953408
0.005953408    0.006953408
0.005953408    0.006953408
0.005592947    0.006592948
0.005953408    0.006953408
0.005953408    0.006953408
0.005953408    0.006953408
0.005953408    0.006953408
0.005953408    0.006953408
0.005953408    0.006953408
0.005953408    0.006953408
0.005953408    0.006953408
0.005367931    0.006367932
0.005953408    0.006953408
0.005953408    0.006953408
0.005953408    0.006953408
0.005406754    0.006406754
0.005953408    0.006953408
0.005409734    0.006409734
0.005953408    0.006953408
0.005953408    0.006953408
0.005953408    0.006953408
0.005953408    0.006953408
0.005953408    0.006953408
0.005953408    0.006953408
0.005831867    0.006831867
0.005953408    0.006953408
0.005953408    0.006953408
0.005953408    0.006953408
0.003353345    0.004353345
0.003353347    0.004353347
0.003029741    0.004029741
0.003353344    0.004353344
0.003353438    0.004353438
0.003353441    0.004353441
0.003353345    0.004353345
0.003353342    0.004353342
0.003202718    0.004202718
0.003353438    0.004353438
0.003001544    0.004001544
0.003353438    0.004353438
0.003353339    0.004353339
0.002845617    0.003845618
0.003353345    0.004353345
0.003353438    0.004353438
0.003353438    0.004353438
0.003071669    0.004071669
0.003131746    0.004131746
0.003353347    0.004353347
0.003353436    0.004353436
0.003225793    0.004225793
0.003353438    0.004353438
0.003353339    0.004353339
0.002954496    0.003954496
0.003353443    0.004353443
0.003353339    0.004353339
0.003353436    0.004353436
0.003353347    0.004353347
0.003353436    0.004353436
0.003353342    0.004353342
0.003353441    0.004353441
0.003353339    0.004353339
0.002687808    0.003687808
0.003353347    0.004353347
0.003353436    0.004353436
0.003353342    0.004353342
0.002735019    0.003735019
0.003353342    0.004353342
0.00273862    0.00373862
0.003353345    0.004353345
0.003353441    0.004353441
0.003353347    0.004353347
0.003153007    0.004153007
0.003353438    0.004353438
0.003167247    0.004167247
0.003192606    0.004192606
0.003353441    0.004353441
0.003353345    0.004353345
0.003106216    0.004106216
0.00441431    0.00541431
0.00441431    0.00541431
0.004090841    0.005090842
0.004414309    0.005414309
0.004414406    0.005414406
0.004414309    0.005414309
0.00441431    0.00541431
0.00441431    0.00541431
-0.005736345    0.005263655
0.004414406    0.005414406
0.004058382    0.005058382
-0.005585594    0.005414406
0.004414309    0.005414309
0.003906792    0.004906793
0.00441431    0.00541431
0.004414406    0.005414406
0.004414406    0.005414406
0.00385091    0.00485091
0.003971234    0.004971234
0.00441431    0.00541431
0.004414406    0.005414406
0.004159277    0.005159277
-0.005585594    0.005414406
-0.00558569    0.005414309
0.004015729    0.005015729
0.004414309    0.005414309
0.004414309    0.005414309
0.004414406    0.005414406
-0.00558569    0.00541431
0.004414406    0.005414406
0.00441431    0.00541431
0.004414309    0.005414309
-0.00558569    0.005414309
-0.006250975    0.004749025
